Contact Type,Email,First Name,Last Name,Mailing City,Mailing Country,Mailing State/Province,Mailing Street,Mailing Zip/Postal Code,Organization Type,Phone
Educator,Olivia.Harris@thorpschools.org,Olivia,Harris,,United States,WA,,,One-to-One Individual,6833215253
Educator,--.Piper@riissettlement.org,--,Piper,,United States,,,,School,(841) 676-7182
Adult,Max.Hart@bla2hs.org,Max,Hart,,United States,NY,,73932,,9007341110
,Victoria.Rutherford@gmail.com,Victoria,Rutherford,Indianapolis,United States,Indiana,9626 Cubilia St.,45079,One-to-One Individual,7552477397
Adult,CARL.ROBERTS@aol.com,CARL,ROBERTS,,,,,39456,After-School Affiliate,
Adult,Joanne.Vaughan@roadstosuccess.org,Joanne,Vaughan,,,,,94302,,
TBD,Audrey.Carr@cox.net,Audrey,Carr,,,,,,,
Educator,Michelle.Sanderson@wrenn-academy.net,Michelle,Sanderson,,United Kingdom,Northamptonshire,,,School,670442986
Adult,Neil.Lee@roadstosuccess.org,Neil,Lee,,,,,7584,,
,Anthony.Johnston@uwo.ca,Anthony,Johnston,Pembroke,Canada,Ontario,1742 In Avenue,K2A 6V7,One-to-One Individual,4723491631
Educator,Angela.Dyer@hcz.org,Angela,Dyer,,,,,,After-School Affiliate,(104) 954-9233
Educator,Sean.Henderson@schools.nyc.gov,Sean,Henderson,,United States,NY,,,,
,richard.parr@yahoo.com,richard,parr,Bel Air,United States,Maryland,"P.O. Box 320, 7163 Euismod Rd.",96168,One-to-One Individual,2515959646
Adult,Caroline.Walker@frontier.com,Caroline,Walker,,United States,WA,,28598,Group,774123705
Educator,Joseph.Lewis@girlsprep.org,Joseph,Lewis,New York,United States,NY,Ap #258-9179 Morbi Rd.,93336,,
,Lillian.Marshall@icloud.com,Lillian,Marshall,Hockly,United States,Texas,Ap #258-9179 Morbi Rd.,45760,One-to-One Individual,(783)-986-9841
Adult,Jessica.Jones@hotmail.com,Jessica,Jones,,,,,30273,Group,9764011541
Adult,Felicity.Welch@gmail.com,Felicity,Welch,,,,,48484,,
,Natalie.Jackson@gmail.com,Natalie,Jackson,Stittsville,Canada,Ontario,"P.O. Box 118, 4014 Velit. Rd.",K1S9P7,One-to-One Individual,268-418-3372
Adult,Warren.Cameron@comcast.net,Warren,Cameron,,,,,95554,Group,
Adult,Sue.Jackson@schools.nyc.gov,Sue,Jackson,,United States,NY,,,,428.633.8595
,Jake.Clarkson@aol.com,Jake,Clarkson,Delaware,United States,Ohio,1586 Ornare Rd.,26012,One-to-One Individual,3822130782
Educator,Jacob.Walker@sno.wednet.edu,Jacob,Walker,,,,,,Schoolboard,(748) 740-4373
Adult,Olivia.Poole@nyjtl.org,Olivia,Poole,Bronx,United States,NY,Ap #151-9656 Nec Street,18246,,7159291965 EXT 9528
,Bella.Wilkins@gmail.com,Bella,Wilkins,Parksville,Canada,British Columbia,Ap #151-9656 Nec Street,V4P6Y7,One-to-One Individual,472335252
Educator,Leonard.Cornish@sno.wednet.edu,Leonard,Cornish,,,,,,Schoolboard,(081) 692-9844
Youth,Karen.Peters@hanac.org,Karen,Peters,,,,,5822,,
,Boris.Arnold@gmail.com,Boris,Arnold,South Pasadena,United States,California,569 Tincidunt Rd.,773,One-to-One Individual,7831341602
Educator,Jonathan.Kerr@me.com,Jonathan,Kerr,,United States,,,,After-School Affiliate,(651) 940-4278
Youth,Austin.Martin@hanac.org,Austin,Martin,,,,,69385,,
Adult,Joshua.Kelly@verizon.net,Joshua,Kelly,"Washington, DC",United States,District of Columbia,"P.O. Box 846, 3842 Magna. St.",12377,One-to-One Individual,
Educator,Cameron.Manning@henrystreet.org,Cameron,Manning,,United States,NY,,,After-School Affiliate,
Youth,nathan.newman@hanac.org,nathan,newman,,,,,75469,,
,Peter.Walker@gmail.com,Peter,Walker,Penticton,Canada,British Columbia,Ap #102-5108 Aliquam Avenue,V5A 6E4,One-to-One Individual,811-013-1985
Youth,rebecca.mcdonald@museschool.org,rebecca,mcdonald,,,,,81604,School,712-087-7345
Youth,victor.Hardacre@hanac.org,victor,Hardacre,,,,,47560,,
,Jake.Payne@gmail.com,Jake,Payne,San Pablo,United States,California,Ap #879-2288 Vivamus Road,82326,One-to-One Individual,8522353545
Adult,Justin.Piper@museschool.org,Justin,Piper,,,,,71080,School,
Youth,Jonathan.Ellison@hanac.org,Jonathan,Ellison,,,,,15897,,
,Julia.Ferguson@gmail.com,Julia,Ferguson,Buffalo,United States,New York,309-6426 Ut Av.,31220,One-to-One Individual,5299984892
Youth,joe.buckland@museschool.org,joe,buckland,,,,,11748,School,
Youth,Diana.Mills@hanac.org,Diana,Mills,,,,,89620,,
,joe.king@aps.edu,joe,king,albuquerque,United States,New York,2624 Arcu. Rd.,4157,One-to-One Individual,160.361.1235
Adult,Jessica.Davies@gmail.com,Jessica,Davies,,,,,10134,School,3283348476
Youth,Kimberly.Avery@hanac.org,Kimberly,Avery,,,,,4874,,
,Kimberly.Nolan@we.org,Kimberly,Nolan,Toronto,Canada,Ontario,977-7742 Ullamcorper Rd.,M5A8L4,One-to-One Individual,496-525-7492
Adult,Lily.Knox@gmail.com,Lily,Knox,,,,,32565,School,
Youth,Joan.Russell@hanac.org,Joan,Russell,,,,,36351,,
,Phil.Sharp@gmail.com,Phil,Sharp,Brooklyn,United States,New York,438-912 Urna. Av.,3225,One-to-One Individual,6823029756
Educator,Gordon.Martin@sandi.net,Gordon,Martin,,,,,,School,+2 578-054-0464
Youth,Trevor.King@hanac.org,Trevor,King,,,,,82842,,
,Joe.Dickens@hotmail.com,Joe,Dickens,Wheeling,United States,Illinois,5863 Donec Av.,98985,One-to-One Individual,4995560120
Adult,FRANK.RUTHRFORD@gmail.com,FRANK,RUTHRFORD,,,,,49152,After-School Affiliate,
Youth,Jan.Arnold@ymcanyc.org,Jan,Arnold,Whitestone,United States,NY,430 Nullam Avenue,95584,,145-570-4036
,Adrian.MacDonald@gmail.com,Adrian,MacDonald,Highland Park,United States,Illinois,430 Nullam Avenue,77647,One-to-One Individual,5539754710
Adult,Ian.Fisher@elpuente.us,Ian,Fisher,,,,,21206,After-School Affiliate,
Adult,DAVID.Howard@leapnyc.org,DAVID,Howard,,,,,8043,,
,Victoria.Parr@yahoo.com,Victoria,Parr,Collegeville,United States,Pennsylvania,Ap #898-2066 Aliquam St.,29184,One-to-One Individual,2793670742
Adult,Christopher.Peters@elpuente.us,Christopher,Peters,,,,,91438,After-School Affiliate,
Adult,Anna.Russell@gmail.com,Anna,Russell,,,,,28607,,
,Karen.Forsyth@hotmail.com,Karen,Forsyth,Calgary,Canada,Alberta,886-2884 Scelerisque Rd.,T9R 1Y5,One-to-One Individual,6996069090
Adult,Phil.Skinner@elpuente.us,Phil,Skinner,,,,,73724,After-School Affiliate,
Adult,Katherine.Nash@yahoo.com,Katherine,Nash,,,,,9191,,
TBD,Kevin.Hardacre@we.org,Kevin,Hardacre,Toronto,Canada,ON,575-6127 Pede Ave,M9A5L6,One-to-One Individual,
Adult,Jasmine.Blake@me.com,Jasmine,Blake,,,,,97081,After-School Affiliate,
Adult,Natalie.Vance@leapnyc.org,Natalie,Vance,,,,,66420,,
,Kevin.Watson@aol.com,Kevin,Watson,Ocoee,United States,Florida,8492 Eleifend Av.,1404,One-to-One Individual,2580053457
Adult,Faith.Scott@elpuente.us,Faith,Scott,,United States,NY,,38731,After-School Affiliate,4304575684
Adult,Fiona.Carr@shelteringarmsny.org,Fiona,Carr,,,,,2294,,
,Tracey.Sharp@gmail.com,Tracey,Sharp,Cypress,United States,California,323-3949 Duis Road,10912,One-to-One Individual,7767170298
Adult,Sebastian.Johnston@elpuente.us,Sebastian,Johnston,,,,,83371,After-School Affiliate,
Adult,Alexandra.Springer@yahoo.com,Alexandra,Springer,NewPaltz,United States,NY,253-688 Pede. Street,76104,,2129227677
,Ella.Lee@hotmail.com,Ella,Lee,Oro Medonte,Canada,Ontario,253-688 Pede. Street,L1L7E9,One-to-One Individual,3878235325
Adult,Sonia.Peters@gmail.com,Sonia,Peters,,,,,32937,After-School Affiliate,
Youth,Bernadette.Young@outlook.com,Bernadette,Young,,United States,NY,,,,(610) 686-4149
,jennifer.Abraham@gmail.com,jennifer,Abraham,toronto,Canada,Ontario,"P.O. Box 727, 7980 Ultricies St.",m8b2p5,One-to-One Individual,7345606831
Adult,ella.Carr@lausd.net,ella,Carr,,,,,1287,School,
Adult,dominic.wilkins@gmail.com,dominic,wilkins,,,,,69152,,
,Evan.Glover@sasktel.net,Evan,Glover,Regina,Canada,Saskatchewan,955-9325 Metus. Street,S0N 5C2,One-to-One Individual,4734747512
Adult,Olivia.Hill@gmail.com,Olivia,Hill,,,,,56991,School,
Adult,Maria.Robertson@ehtp.org,Maria,Robertson,,,,,4068,,
,Julian.Lewis@gmail.com,Julian,Lewis,corona,United States,California,Ap #816-1861 Fringilla Av.,19848,One-to-One Individual,926383713
Adult,Dorothy.Duncan@sanjacinto.k12.ca.us,Dorothy,Duncan,,,,,34895,School,
Educator,Liam.Lee@schools.nyc.gov,Liam,Lee,,United States,NY,,,,044-503-1376
,Jasmine.Ince@gmail.com,Jasmine,Ince,Edmonds,United States,Washington,"P.O. Box 456, 6050 Et Street",30159,One-to-One Individual,985-619-3657
Adult,Anna.Bell@gmail.com,Anna,Bell,,,,,76393,After-School Affiliate,
Educator,Christian.Watson@schools.nyc.gov,Christian,Watson,,United States,NY,,,,7672555243
,Dylan.Knox@shaw.ca,Dylan,Knox,St. Albert,Canada,Alberta,2971 Ac Ave,T3N 2R4,One-to-One Individual,955-403-1611
Adult,megan.johnston@yhaoo.com,megan,johnston,,,,,74291,After-School Affiliate,
Adult,Grace.Duncan@gmail.com,Grace,Duncan,NEW YORK,United States,NY,1145 Nulla Ave,31747,,306-744-3720
,Amanda.Black@live.com,Amanda,Black,Bronx,United States,New York,1145 Nulla Ave,57271,One-to-One Individual,804-778-2488
Adult,Diana.Forsyth@gmail.com,Diana,Forsyth,,,,,87630,After-School Affiliate,
Adult,Alexandra.Young@childrensaidsociety.org,Alexandra,Young,,,,,58428,,
,Phil.Cameron@queensu.ca,Phil,Cameron,Toronto,Canada,ON,552-9905 Suspendisse Road,M6A8L7,One-to-One Individual,
Adult,Elizabeth.Young@gmail.com,Elizabeth,Young,,,,,87592,After-School Affiliate,
Adult,Heather.Jackson@aol.com,Heather,Jackson,,,,,99435,,
,John.Manning@yahoo.com,John,Manning,New York,United States,New York,"P.O. Box 606, 1726 Sit Avenue",82096,One-to-One Individual,4432855607
Adult,Victoria.Terry@dieringer.wednet.edu,Victoria,Terry,,,,,40617,School,
Educator,Sonia.Murray@gmail.com,Sonia,Murray,,United States,NY,,,,2029363332
,Luke.Rampling@gmail.com,Luke,Rampling,Tacoma,United States,Washington,3386 Arcu. St.,19973,One-to-One Individual,2462656001
Youth,Simon.Lee@gmail.com,Simon,Lee,,United States,WA,,,School,
Adult,Harry.White@gmail.com,Harry,White,,,,,55443,,23528853021
,Isaac.Grant@gmail.com,Isaac,Grant,Mississauga,Canada,Ontario,139-7650 Sed Rd.,L7M8K2,One-to-One Individual,6932815666
Adult,Faith.Newman@gmail.com,Faith,Newman,,,,,50044,School,
Adult,Mary.Jones@gmail.com,Mary,Jones,,,,,61351,,
,Colin.Wilson@rogers.com,Colin,Wilson,Georgetown,Canada,Ontario,7620 Eros. Rd.,L0G 7A8,One-to-One Individual,8038263848
Adult,Sarah.Welch@fifeschools.com,Sarah,Welch,,,,,82714,School,
Adult,Hannah.Ferguson@gmail.com,Hannah,Ferguson,,,,,4778,,2782998564
,Amanda.Hemmings@gmail.com,Amanda,Hemmings,Aurora,United States,Colorado,2555 Dolor St.,30648,One-to-One Individual,1668305034
Adult,Connor.North@gmail.com,Connor,North,,,,,73942,School,
Corporate,Stewart.Metcalfe@stgeorges.edu,Stewart,Metcalfe,,,,,,,
,hannah.davies@gmail.com,hannah,davies,Bryant,United States,Arkansas,8298 A Street,84720,One-to-One Individual,2906650739
Educator,Joan.Clark@leacademy.org,Joan,Clark,Kirkland,United States,WA,8298 A Street,,School,(233) 325-7255
Adult,carolyn.anderson@schools.nyc.gov,carolyn,anderson,,,,,38012,,
,Ian.Rutherford@outlook.com,Ian,Rutherford,Jonquière,Canada,Quebec,1200 Dapibus Road,G8X 6L5,One-to-One Individual,9928746441
Educator,Victor.Kelly@lead-prep.org,Victor,Kelly,,US,,,51007,School,(915)616-7740
Adult,brian.mathis@schools.nyc.gov,brian,mathis,,,,,944638,,
,Frank.Abraham@gmail.ca,Frank,Abraham,Oakville,Canada,Ontario,4085 Elementum Road,L0M2M2,One-to-One Individual,4504113962
Adult,Cameron.Thomson@gmail.com,Cameron,Thomson,,,,,23116,,440-449-2153
Adult,KAREN.GRAHAM@gmail.com,KAREN,GRAHAM,,,,,91234,,
,Sally.White@gmail.com,Sally,White,Newmarket,Canada,Ontario,Ap #808-3568 Aliquet St.,L6Y 7B7,One-to-One Individual,5320635845
Adult,David.Arnold@othelloschools.org,David,Arnold,,,,,85754,School,
Adult,Oliver.Underwood@schools.nyc.gov,Oliver,Underwood,,,,,89897,,
Educator,Audrey.Terry@macewan.ca,Audrey,Terry,,Canada,AB,,,One-to-One Individual,
Adult,Yvonne.Wright@othelloschools.org,Yvonne,Wright,,,,,80560,School,
Adult,Tracey.Butler@schools.nyc.gov,Tracey,Butler,,,,,65517,,
,Adam.Burgess@hotmail.com,Adam,Burgess,Guelph,Canada,Ontario,934-9470 Sed St.,N1e0b2,One-to-One Individual,3011172106
Adult,Neil.Quinn@othelloschools.org,Neil,Quinn,,,,,34130,School,
Adult,Dylan.Rutherford@schools.nyc.gov,Dylan,Rutherford,,,,,42732,,
,Ryan.Baker@gmail.com,Ryan,Baker,Centennial,United States,Colorado,"P.O. Box 526, 6412 Non Ave",96594,One-to-One Individual,8589506326
Adult,David.Ogden@othelloschools.org,David,Ogden,,,,,93294,School,
Youth,Jasmine.Miller@unionsquareacademy.org,Jasmine,Miller,,,,,84131,,
,Zoe.Arnold@gmail.com,Zoe,Arnold,Toronto,Canada,Ontario,Ap #244-3852 Dolor Ave,M3B 4Z6,One-to-One Individual,432-814-6571
Adult,Sarah.Sutherland@psd1.org,Sarah,Sutherland,,,,,63030,School,
Adult,Gavin.Knox@unionsquareacademy.org,Gavin,Knox,,,,,22247,,
,Julia.Marshall@gmail.com,Julia,Marshall,Charlottesville,United States,Virginia,3295 Enim Rd.,56442,One-to-One Individual,3079229143
Adult,Wendy.Ross@psd1.org,Wendy,Ross,,US,,,89589,School,
Adult,Natalie.Nolan@unionsquareacademy.org,Natalie,Nolan,,,,,8208,,3955180772
Youth,christopher.King@gmail.com,christopher,King,Fredricton,Canada,New Brunswick,"P.O. Box 452, 2007 Sapien Avenue",E8a7s8,One-to-One Individual,94732654670
Adult,Simon.Hughes@gmail.com,Simon,Hughes,,,,,94719,School,
Educator,Olivia.Wilkins@gmail.com,Olivia,Wilkins,Brooklyn,United States,NY,"P.O. Box 678, 5102 Pede. St.",54334,,110-592-3842
,Dan.Hughes@xplornet.com,Dan,Hughes,sutton,Canada,Ontario,"P.O. Box 678, 5102 Pede. St.",l3e3r6,One-to-One Individual,801 988 -9266
Adult,Lillian.Vaughan@gmail.com,Lillian,Vaughan,,,,,51364,School,
Educator,Leonard.Gill@outlook.com,Leonard,Gill,Brooklyn,United States,NY,Ap #568-175 Lacus St.,56983,,9408126359
,Ryan.Russell@gmail.com,Ryan,Russell,Burlington,Canada,Ontario,Ap #568-175 Lacus St.,L6R 7V9,One-to-One Individual,5974754003
Youth,Max.Howard@gmail.com,Max,Howard,,United States,WA,,,School,4361419208
Adult,Alan.Grant@girlsincnyc.org,Alan,Grant,,,,,49316,,
,Brian.Manning@uregina.ca,Brian,Manning,Regina,Canada,Saskatchewan,"308-5373 Dolor, Rd.",S5S 7X7,One-to-One Individual,7278924995
Educator,Jack.Miller@mypurpleumbrella.org,Jack,Miller,Tacoma,United States,WA,"308-5373 Dolor, Rd.",48726,School,854-878-1769
Adult,Warren.May@girlsincnyc.com,Warren,May,,,,,8148,,
,brandon.underwood@gmail.com,brandon,underwood,beverly hills,United States,Michigan,"P.O. Box 838, 7884 Lobortis Av.",87246,One-to-One Individual,8774751348
Adult,Caroline.Pullman@tacoma.k12.wa.us,Caroline,Pullman,,,,,16254,School,
Educator,Caroline.Springer@girlsincnyc.org,Caroline,Springer,Brooklyn,United States,NY,435-6690 Proin Avenue,49146,,8395947308
,Victoria.Harris@gmail.com,Victoria,Harris,Norwich,United States,Vermont,435-6690 Proin Avenue,3493,One-to-One Individual,5887908220
Adult,Warren.Greene@tacoma.k12.wa.us,Warren,Greene,,,,,1439,School,
Youth,Fiona.Churchill@camba.org,Fiona,Churchill,,,,,48213,,
,Hannah.Mills@gmail.com,Hannah,Mills,Somerville,United States,Massachusetts,Ap #161-7364 Et Ave,2402,One-to-One Individual,9925322165
Adult,Alexandra.Marshall@tacoma.k12.wa.us,Alexandra,Marshall,,,,,54818,School,802-642-8393
Educator,Vanessa.Mills@lbeach.org,Vanessa,Mills,,United States,NY,,,,786-356-5080
,keith.gray@yahoo.com,keith,gray,east liverpool,United States,New York,8834 Phasellus Rd.,30975,One-to-One Individual,1344808207
Adult,Elizabeth.Randall@unwomen.org,Elizabeth,Randall,,,,,,Government,
Adult,nicola.newman@hotmail.com,nicola,newman,,,,,56456,,
Youth,Justin.Campbell@gmail.com,Justin,Campbell,Brampton,Canada,ON,739-1547 Risus. St.,L1V 7H2,One-to-One Individual,016-282-2566
Educator,Ian.Sanderson@sisda.org,Ian,Sanderson,,United States,,,,School,
Adult,max.chapman@yahoo.com,max,chapman,,,,,28549,,
,Anne.Forsyth@hotmail.com,Anne,Forsyth,Prince George,Canada,British Columbia,2985 Non Av.,V9M 9V4,One-to-One Individual,1933084492
Adult,Stewart.Lewis@cpc-nyc.org,Stewart,Lewis,,United States,NY,,,After-School Affiliate,(508) 453-1722
Adult,melanie.macleod@gmail.com,melanie,macleod,,,,,44912,,
,Pippa.Jones@gmail.com,Pippa,Jones,Hamilton,Canada,Ontario,"P.O. Box 146, 7378 Porttitor Ave",L0P 7E9,One-to-One Individual,3471485720
Corporate,Matt.Thomson@brookfieldrenewable.com,Matt,Thomson,,,,,,Corporate,
Adult,adrian.manning@yahoo.com,adrian,manning,,,,,27372,,
,julia.thomson@hotmail.com,julia,thomson,Redwood Shores,United States,California,"P.O. Box 481, 433 Semper Ave",43031,One-to-One Individual,6563619381
Adult,frank.hughes@gmail.com,frank,hughes,,,,,92081,,
Educator,Caroline.Turner@whschools.org,Caroline,Turner,,United States,CT,,,,4078245069
TBD,Kylie.Walker@comcast.net,Kylie,Walker,,,,,,,
Adult,Irene.McLean@goopenmarket.com,Irene,McLean,,,,,78506,,709966119
Educator,Pippa.Robertson@bisd.net,Pippa,Robertson,,,,,,,(681) 120-3927
,Richard.Wright@gmail.com,Richard,Wright,MOUNT VERNON,United States,Washington,5750 Aliquam Av.,95178,One-to-One Individual,8088216064
Adult,Diana.Hunter@hotmail.com,Diana,Hunter,,,,,70462,,
Educator,Stephanie.Glover@caldwellisd.net,Stephanie,Glover,,,,,,,(912) 623-0097
,Jake.Robertson@gmail.com,Jake,Robertson,Nanaimo,Canada,British Columbia,Ap #904-3454 Libero Ave,V6V 2M4,One-to-One Individual,444-847-3322
Adult,Lisa.Chapman@yahoo.com,Lisa,Chapman,,,,,17619,,783496483
Youth,Peter.Gill@gmail.com,Peter,Gill,,United States,TX,,,,1957639332
,Tim.North@comcast.net,Tim,North,Tacoma,United States,Washington,5644 Odio. St.,82910,One-to-One Individual,7819687358
Educator,Frank.Poole@longwoodcsd.org,Frank,Poole,,United States,NY,,,,1745008906
Educator,Gabrielle.Lyman@cfisd.net,Gabrielle,Lyman,,,,,,,(913) 491-8620
Adult,Katherine.Clark@gmail.com,Katherine,Clark,Pleasanton,United States,CA,5915 Ante Rd.,58653,One-to-One Individual,9460092841
Group Leader,Bella.Lyman@rmwb.ca,Bella,Lyman,Fort McMurray,Canada,AB,5915 Ante Rd.,T6H 8K8,Group,(278) 238-8451
Educator,Benjamin.Walsh@harrystone.org,Benjamin,Walsh,,United States,TX,,,,9203636771
,Alexandra.Clark@gmail.com,Alexandra,Clark,Camillus,United States,New York,230-5005 Ac Street,73395,One-to-One Individual,219169227
Adult,Andrew.Morgan@northbridgehouse.com,Andrew,Morgan,London,United Kingdom,London Borough of Camden,Ap #212-9874 Iaculis Rd.,NW9 8AB,School,
Educator,Connor.Sutherland@dallasisd.org,Connor,Sutherland,Dallas,United States,TX,"P.O. Box 741, 4316 Massa. Street",74509,,7315128645
,Sophie.Gray@gmail.com,Sophie,Gray,Kitchener,Canada,Ontario,"Ap #564-7565 Ut, Rd.",N8E 3c0,One-to-One Individual,2029080729
Educator,Caroline.Butler@shetland.gov.uk,Caroline,Butler,Lerwick,Scotland,Shetland Islands,"Ap #564-7565 Ut, Rd.",ZE0 9QJ,School,(05484) 880557
Educator,Sebastian.Short@dallasisd.org,Sebastian,Short,,United States,TX,,,,(491) 667-4981
Adult,Carl.Ross@gmail.com,Carl,Ross,Ottawa,Canada,Ontario,238-6395 Iaculis Rd.,K0Y 8C6,One-to-One Individual,6287306163
Adult,Sarah.Gill@epsnj.org,Sarah,Gill,,,,,6246,School,
Educator,William.Lambert@dallasisd.org,William,Lambert,,,,,,,(065) 589-2178
,Keith.Alsop@smcdsb.on.ca,Keith,Alsop,Barrie,Canada,Ontario,840 Mauris Rd.,L3M 2K6,One-to-One Individual,3873535457
Adult,Carol.Carr@epsnj.org,Carol,Carr,,,,,6244,School,
Educator,Victor.Lambert@trinityschoolnyc.org,Victor,Lambert,,,,,,,(328) 211-2159
Adult,Eric.Arnold@gmail.com,Eric,Arnold,San Francisco,United States,CA,Ap #224-4931 Nunc St.,27359,One-to-One Individual,(326)263-0926
Educator,Diana.Sutherland@providencemontessoriky.org,Diana,Sutherland,,United States,KY,,,School,933-472-8741
Educator,Una.Anderson@iltexas.org,Una,Anderson,,,,,,,(129) 037-2313
TBD,Vanessa.Cornish@gmail.com,Vanessa,Cornish,Hamilton,Canada,Ontario,"P.O. Box 812, 3837 Sociis Rd.",L1P6E6,One-to-One Individual,4907066747
Adult,Caroline.Gray@afterschoolallstars.org,Caroline,Gray,,,,,,Group,(193) 026-1814
Educator,Alan.Johnston@mesquiteisd.org,Alan,Johnston,,,,,,,(949) 477-2169
Adult,Claire.Cameron@gmail.com,Claire,Cameron,San Mateo,United States,CA,Ap #828-4864 Urna. Avenue,8371,One-to-One Individual,(753)272-6619
Educator,Gabrielle.LAMBERT@gmail.com,Gabrielle,LAMBERT,BALLWIN,United States,MO,Ap #828-4864 Urna. Avenue,5945,School,860-406-7405
Adult,Isaac.Lyman@yahoo.com,Isaac,Lyman,Cedar Hill,United States,TX,,21270,,683-263-5661
Adult,Alexandra.Anderson@gmail.com,Alexandra,Anderson,Toronto,Canada,ON,"Ap #310-7355 Vulputate, Rd.",M5G 8H5,,(697) 913-7299
Adult,Owen.McLean@parkwayschools.net,Owen,McLean,,,,,,School,(891) 917-7949
Educator,Hannah.Churchill@palestineschools.org,Hannah,Churchill,,,,,,,(143) 503-7020
,Leah.Taylor@cogeco.ca,Leah,Taylor,St. Catharines,Canada,Ontario,4851 Malesuada Avenue,L6R 9N7,One-to-One Individual,8279746203
Educator,Faith.Peake@wqsb.qc.ca,Faith,Peake,Gatineau,Canada,QC,4851 Malesuada Avenue,J0J 0G8,Group,(243) 648-4466 ext. 9050
Youth,Andrew.Roberts@gmail.com,Andrew,Roberts,,United States,TX,,,,6144957288
Educator,Dominic.Jackson@tcdsb.org,Dominic,Jackson,,Canada,ON,,,One-to-One Individual,
Adult,Cameron.Knox@we.org,Cameron,Knox,,United States,DE,,,School,(385) 284-9098
Youth,Jason.Parsons@seminoleisd.net,Jason,Parsons,,United States,Ontario,,,,2246291608
Adult,Warren.Rutherford@gmail.com,Warren,Rutherford,San Francisco,United States,CA,Ap #208-779 Consectetuer St.,4234,One-to-One Individual,(044)103-0995
Educator,Jonathan.Gibson@ldisd.net,Jonathan,Gibson,,United States,TX,,,School,
Educator,Yvonne.Randall@sunnyvaleisd.com,Yvonne,Randall,,,,,,,(067) 351-6258
Adult,Warren.Cornish@survshop.com,Warren,Cornish,Calgary,Canada,AB,873-1429 Venenatis Rd.,T1Z 6Z6,One-to-One Individual,(593)617-7886
Educator,ANTHONY.ROBERTS@un.edu,ANTHONY,ROBERTS,,United States,MN,,,Group,
Educator,Victoria.Peters@aol.com,Victoria,Peters,,,,,,,(245) 019-2851
,,stephanie,Wilkins,,,,,,One-to-One Individual,
Adult,Diane.Langdon@buildon.org,Diane,Langdon,,,,,,School,(823) 043-6397
Educator,James.Newman@uttia.org,James,Newman,,United States,TX,,,,335294297
,,,PARSONS,,,,,,One-to-One Individual,
Educator,Justin.Hodges@newdirections.newham.sch.uk,Justin,Hodges,Greater London,United Kingdom,London Borough of Newham,"P.O. Box 969, 5838 Non, Av.",E06 2LS,School,
Educator,Mary.Carr@slps.org,Mary,Carr,"ST. Louis, Mo.",United States,MO,"8537 Nec, Avenue",27296,,943-800-7237
